name,url,category,summary,ingredients,directions,total,servings_n,yield,calories,fat_100g,satfat_100g,sugars_100g,salt_100g,fat_fsa,satfat_fsa,sugars_fsa,salt_fsa,fat_score,satfat_score,sugars_score,salt_score,fsa_score,fsa_health_label,rating,dish_type_scraped,cuisine_scraped,total_minutes,ingredient_count,dish_type_llm,cuisine_llm,image_path,dish_type_normalised
BBQ Salmon and Fruit Skewers,https://www.allrecipes.com/recipe/218616/bbq-salmon-and-fruit-skewers/,main-dish,I made up this recipe with some summer fruit that I had on hand. I wanted something to go with some nice fresh salmon that I was planning to cook on the grill for dinner! It turned out great.,"4  wooden skewers ; 1 (1 pound) fillet salmon ; ¼ cup barbecue sauce, or as needed ; 1  mango - peeled, seeded, and cut into chunks ; 1  red bell pepper, cut into chunks ; 1  fresh peach, pitted and cut into chunks ; 2 thick slices fresh pineapple, cut into chunks ; 3 tablespoons barbecue sauce ; 1 tablespoon water ; 1 teaspoon lime juice ; 1 teaspoon olive oil ; 1 teaspoon honey","Preheat an outdoor grill for medium-high heat, and lightly oil the grate. Place the skewers into a basin of water and allow to soak while you prepare ingredients. Slather the salmon on both sides with 1/4 cup of barbecue sauce, and set aside. Place mango, red bell pepper, peach, and pineapple chunks into a bowl. In a small bowl, stir 3 tablespoons of barbecue sauce with water, lime juice, olive oil, and honey until well mixed; pour the dressing over the fruit and pepper chunks, and toss to coat. Thread skewers with alternating pieces of mango, red bell pepper, peach, and pineapple chunks. Grill the skewers on the preheated grill, turning every few minutes, until each side of the skewered fruit is browned, about 10 minutes. Move the fruit skewers to a cool part of the grill, and place the salmon fillet onto the hot grill surface, skin side down. Grill the fish until it shows brown grill marks, the fish is opaque, and the flesh flakes easily, 6 to 8 minutes per side. Serve grilled salmon with fruit skewers.",50 mins,4.0,4 servings,321.6,4.150755437489623,0.7969450439980076,8.367922961979081,0.3021749958492445,amber,green,amber,amber,2.0,1.0,2.0,2.0,7.0,healthy,4.4,,,50.0,12,Seafood,American,recipe_images/recipe_1006.jpg,Seafood
Steamed Salmon with Broccoli and Shallots,https://www.allrecipes.com/recipe/279342/steamed-salmon-with-broccoli-and-shallots/,main-dish,"This steamed salmon dish is simple, tasty, and wholesome. Serve over brown rice or quinoa.","1 tablespoon olive oil ; 1  shallot, thinly sliced ; 1 clove garlic, minced ; 2 (8 ounce) salmon fillets ;   salt and ground black pepper to taste ; 2 cups fresh broccoli ; 1  lemon, cut in half","Heat olive oil in a large skillet over medium heat. Add shallot and garlic and cook until soft and fragrant, about 3 minutes. Sprinkle salmon fillets with salt and pepper on both sides. Place fillets, skin-side up, in the skillet; cook for 4 minutes. Flip salmon skin-side down and spread shallot and garlic over top. Add broccoli around the fillets, stirring to coat in oil. Squeeze lemon halves over salmon and broccoli. Cover the skillet and steam until salmon is cooked through and flakes easily with a fork, about 5 minutes.",25 mins,2.0,2 servings,445.3,5.0424302053867915,0.9346943795351124,0.5903332923379657,0.1266141925962366,amber,green,green,green,2.0,1.0,1.0,1.0,5.0,healthy,4.0,Seafood Main Dishes,American,25.0,7,Seafood,International,recipe_images/recipe_1011.jpg,Seafood
"Parchment-Cooked Fish with Morels, Spring Garlic, and Thyme",https://www.allrecipes.com/recipe/220829/parchment-cooked-fish-with-morels-spring-garlic-and-thyme/,main-dish,"A rather simple recipe that tastes like it took all day. Use Pacific halibut, striped bass, tilapia, or other sustainable white-fleshed fish.","1 pound fresh morel mushrooms ;   salt and ground black pepper to taste ; 4 (6 ounce) Pacific halibut fillets ; 1 ½ teaspoons butter ; ½ cup chopped garlic scapes ; 5 sprigs fresh thyme, leaves stripped and chopped ; 1 tablespoon canola oil, or as needed ; 4  12x20-inch pieces of parchment paper","Preheat oven to 350 degrees F (175 degrees C). Place morel mushrooms in a dry skillet over medium heat and sprinkle with salt and black pepper. Cook, stirring often, until the mushrooms release their juice and the juice evaporates, about 5 minutes. Sprinkle halibut fillets with salt and black pepper on both sides. Heat butter in a large skillet over medium-low heat and cook the halibut fillets until golden brown on the outside, about 2 minutes per side. Remove fish from skillet and set aside. Cook and stir garlic scapes in the same skillet used to cook fish until fragrant, about 1 minute. Remove pan from heat and stir morel mushrooms and thyme with the garlic scapes until combined. Fold a piece of parchment paper in half crosswise. Use scissors to cut a very large valentine-like heart shape out of the folded paper, as large as possible. Repeat with remaining parchment to make 4 large heart shapes. Open the heart shapes; brush right sides of the hearts with canola oil. Place 1/4 morel mushroom mixture in the left (unoiled) half of each heart. Place a halibut fillet on the mushroom mixture. Sprinkle fish with salt and black pepper. Fold the oiled right half of the heart over the fish. Fold about 1/4 inch of parchment paper over, starting at the rounded end, and work your way down to the point, folding as you go. Fold the edge over a second time to enclose fish and mushrooms in a bundle with a double-folded, sealed edge. Leave about 1/4 inch of the bottom point unfolded. Use a straw inserted into the open bottom to blow air into the bundle, making it puff up like a small balloon. Twist the bottom closed to enclose the air. Place parchment bundles on 2 baking sheets; don't let the bundles touch each other. Bake in the preheated oven until fish is no longer translucent in the center, about 15 minutes. To serve, plate each portion and carefully cut open the parchment to reveal the fish, mushrooms, and juices. Bundle will release hot steam when opened.",1 hr,4.0,4 servings,280.3,2.5936599423631126,0.5187319884726225,0.4610951008645533,0.075,green,green,green,green,1.0,1.0,1.0,1.0,4.0,healthy,5.0,Seafood Main Dishes,American,60.0,8,Seafood,International,recipe_images/recipe_1015.jpg,Seafood
Salmon Supreme,https://www.allrecipes.com/recipe/29502/salmon-supreme/,main-dish,"With an assortment of fresh vegetables, this spicy salmon makes it seem as if you just dined in a five star restaurant. Serve over rice. Delicious!","2 (4 ounce) fillets salmon ; 1 small yellow squash, chopped ; 1 small zucchini, chopped ; 2  roma (plum) tomato, thinly sliced ; 1  carrot, sliced ; 1 cup sliced mushrooms ; 2 tablespoons Creole-style hot pepper marinade ; 2 slices  lemon","Preheat oven to 350 degrees F (175 degrees C). Place salmon fillets in a piece of foil large enough create a sealed packet, and layer with squash, zucchini, tomato, carrot and mushrooms. Drizzle with Creole-style hot pepper marinade, and top each fillet with a lemon slice. Seal foil tightly around salmon and vegetables. Place packet on a medium baking sheet. Bake 25 minutes in the preheated oven, or until vegetables are tender and fish is easily flaked with a fork.",35 mins,2.0,2 servings,262.4,3.0882754851052203,0.6012571740912819,1.557802678327412,0.1039901612462421,amber,green,green,green,2.0,1.0,1.0,1.0,5.0,healthy,3.73,,,35.0,8,Seafood,American,recipe_images/recipe_1016.jpg,Seafood
Onion Salmon,https://www.allrecipes.com/recipe/20599/onion-salmon/,main-dish,This is a great way to barbecue salmon for gatherings.  It adds some superficial flavor without hiding the salmons' own great taste.,"1 pound salmon fillet ; 1  onion, sliced into rings ;   freshly ground black pepper","Preheat an outdoor grill for medium heat and lightly oil grate. Place the salmon on a large sheet of aluminum foil. Place the onion rings on top of the filet. Pepper to taste. Wrap the foil around the salmon, but don't seal the top. Place the salmon (still in foil) onto a preheated grill and cover.  Cook for 15 minutes or until salmon flakes easily with a fork.",25 mins,4.0,1 filet,218.7,8.729595457771469,1.7743080198722498,0.8516678495386799,0.1208303761533002,amber,amber,green,green,2.0,2.0,1.0,1.0,6.0,healthy,4.14,Seafood Main Dishes,American,25.0,3,Seafood,International,recipe_images/recipe_1018.jpg,Seafood
Dill-Tarragon Salmon,https://www.allrecipes.com/recipe/105047/dill-tarragon-salmon/,main-dish,"This baked salmon recipe is quick, easy, and impressive.","½ cup plain yogurt ; 1 tablespoon mayonnaise ; ¼ teaspoon lemon juice ; 1 teaspoon dried tarragon ; 1 teaspoon dried dill ; ¾ cup shredded mozzarella cheese ; 1 tablespoon grated Parmesan cheese, optional ; 4 (4 ounce) salmon fillets, skin removed","Preheat oven to 400 degrees F (200 degrees C).  Prepare a glass baking dish by spraying with nonstick cooking spray. Mix together yogurt, mayonnaise, lemon juice, tarragon, dill, mozzarella, and Parmesan in a small bowl.  Place fish fillets into prepared baking dish, and spread evenly with cheese mixture. Bake in preheated oven until fish flakes when tested with a fork, about 15 minutes.",25 mins,4.0,4 portions,313.3,14.44745953027042,4.192008982876391,1.8714325816412465,0.4848881819032469,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.18,Seafood Main Dishes,American,25.0,8,Seafood,International,recipe_images/recipe_1021.jpg,Seafood
Baked Salmon with Tropical Rice,https://www.allrecipes.com/recipe/143313/baked-salmon-with-tropical-rice/,main-dish,"This baked salmon preparation is an appealing low calorie main dish. Seasoned with brown sugar, cilantro and lemon-pepper, and paired with white rice flavored with mangos, cilantro, and lemon zest, it makes a satisfying meal.","2 tablespoons cracked coriander seed  ; 1 tablespoon packed brown sugar ; 1 teaspoon lemon-pepper seasoning ; 1 (1 pound) fillet fresh salmon ; 1 tablespoon melted butter ; 2 cups cooked white or brown rice ; 1  mango, peeled, pitted and diced ; 1 tablespoon finely chopped fresh cilantro ; 1 teaspoon grated fresh lemon peel","Preheat oven to 450 degrees F (230 degrees C). Lightly grease a shallow 9x13  baking dish. Combine the coriander seed, brown sugar, and lemon-pepper seasoning in a small bowl, and blend well. Place the salmon fillet skin side down in the prepared baking dish. Brush top and sides of fillet with the butter. Sprinkle the fish evenly with the coriander spice mixture, gently pressing it into the fish. Stir the mango, cilantro, and lemon peel into the rice. Spoon the rice mixture around the fish in the baking dish. Bake in preheated oven until fish flakes easily when tested with a fork, 4 to 6 minutes per 1/2 inch thickness. Cut the fish into 4 pieces. Divide rice between 4 serving plates and place the fish on top.",37 mins,4.0,4 servings,606.3,6.3358858701353205,1.7622993810972414,4.657505507185566,0.2072799748242945,amber,amber,green,green,2.0,2.0,1.0,1.0,6.0,healthy,4.39,Seafood Main Dishes,,37.0,9,Seafood,International,recipe_images/recipe_1025.jpg,Seafood
Dad's Candied Salmon,https://www.allrecipes.com/recipe/178249/dads-candied-salmon/,main-dish,"This hot and sweet salmon dish can be done in the oven or on the grill. My Dad has been making this for us for years. Serve with new potatoes, corn, green salad and rolls.",1 (2 pound) whole salmon fillet ; 3 tablespoons dry mustard ; ½ cup brown sugar ; ½  lemon,"Preheat an oven to 425 degrees F (220 degrees C). Place the salmon onto a baking sheet lined with aluminum foil with the skin side down. Rub the mustard into the flesh of the salmon and then spread the brown sugar evenly over the fish. Squeeze the lemon over the salmon. Bring the edges of the foil together and seal into a packet. Bake in the preheated oven until the fish flakes easily with a fork, 25 to 30 minutes.",35 mins,4.0,4 servings,459.5,6.711145996860283,1.3736263736263736,10.478806907378337,0.0986067503924646,amber,green,amber,green,2.0,1.0,2.0,1.0,6.0,healthy,3.81,Seafood Main Dishes,,35.0,4,Seafood,American,recipe_images/recipe_1027.jpg,Seafood
Orange Salmon II,https://www.allrecipes.com/recipe/60429/orange-salmon-ii/,main-dish,"This quick and easy salmon recipe has only three ingredients: salmon, orange juice, and fresh dill. I learned this recipe from my mother, and it is one of my husband's favorites.","2 (6 ounce) fillets salmon, skin removed ; 2 ½ cups orange juice ; 3 sprigs fresh dill weed","Place the salmon fillets in a large skillet over medium heat. Pour orange juice over salmon. Arrange dill sprigs around the salmon. Cook , turning occasionally, 15 minutes, or until fish is easily flaked with a fork. Remove salmon from skillet, and set aside. Reduce skillet heat to medium-low, and continue cooking the orange juice 10 minutes, or until thickened. Pour over the salmon to serve.",40 mins,2.0,2 servings,452.0,9.278350515463917,1.8327605956471933,14.891179839633445,0.1285796105383733,amber,amber,amber,green,2.0,2.0,2.0,1.0,7.0,healthy,4.0,,,40.0,3,Seafood,International,recipe_images/recipe_1029.jpg,Seafood
Baked Lemon-Butter Salmon,https://www.allrecipes.com/recipe/283204/baked-lemon-butter-salmon/,main-dish,Easy and delicious lemon-butter salmon fillets. This is an old recipe I changed up a bit and doubled in order to feed a large group or family.,vegetable oil cooking spray ; 8 (4 ounce) skinless salmon fillets ; 4 tablespoons salted butter ; 2 ½ tablespoons fresh lemon juice ;   salt and ground black pepper to taste,"Preheat the oven to 400 degrees F (200 degrees C). Spray a baking dish with cooking spray and place salmon fillets in the dish. Place butter in a microwave-safe bowl and microwave on high in 30-second increments until melted, 30 seconds to 1 minute. Mix lemon juice, salt, and pepper into the melted butter; pour over the salmon. Bake in the preheated oven until fish flakes easily with a fork, 12 to 18 minutes.",25 mins,8.0,8 fillets,175.2,7.966804979253111,3.817427385892116,0.0829875518672199,0.1914937759336099,amber,amber,green,green,2.0,2.0,1.0,1.0,6.0,healthy,0.0,Seafood Main Dishes,American,25.0,5,Seafood,International,recipe_images/recipe_1030.jpg,Seafood
Naked Shrimp Pasta,https://www.allrecipes.com/recipe/216681/naked-shrimp-pasta/,main-dish,A Valentine request from my wife led to this dish.,"1 (12 ounce) package dry fettuccine pasta ; 4 slices bacon, chopped ; 1 tablespoon bacon drippings ;   olive oil ; 3 cloves garlic, chopped ; ½ small onion, chopped ; 14 ounces frozen shelled and deveined medium shrimp - thawed and patted dry ; 2 teaspoons Italian seasoning ;   ground black pepper to taste ; 1 (14.5 ounce) can diced tomatoes with juice ; 4 cups baby spinach leaves ; 1 tablespoon tomato paste  (Optional)","Fill a large pot with lightly salted water and bring to a rolling boil over high heat. Once the water is boiling, stir in the fettuccine, and return to a boil. Cook the pasta uncovered, stirring occasionally, until the pasta has cooked through, but is still firm to the bite, about 8 minutes. Drain well in a colander set in the sink. Brown the bacon in a large skillet over medium heat until crisp, about 5 minutes; stir occasionally. Drain all but 1 tablespoon of the drippings; pour the olive oil into the skillet. Stir in garlic and onion, and cook until the onion becomes translucent, about 5 minutes. Stir in the shrimp, and cook just until pink and opaque, 2 to 3 more minutes. Mix in Italian seasoning, black pepper, and diced tomatoes, and cook, stirring occasionally, until the liquid has reduced by half, about 10 minutes. With a spoon, move the shrimp to the outside of the skillet. Place the spinach in the center of the skillet, cover, and cook until just wilted, 3 to 5 minutes. Stir the spinach into the shrimp. Mix in the tomato paste if you prefer a thicker sauce. Serve over cooked fettuccine.",50 mins,4.0,4 servings,499.8,2.5401964294052637,0.5976932775071209,1.5938487400189894,0.3734337790091366,green,green,green,amber,1.0,1.0,1.0,2.0,5.0,healthy,4.33,Pasta,American,50.0,12,Pasta and Noodles,Italian,recipe_images/recipe_1036.jpg,Pasta
Baked Fish with Frozen Vegetables,https://www.allrecipes.com/recipe/282410/baked-fish-with-frozen-vegetables/,main-dish,"Quick, simple, and delicious baked fish dish with vegetables. Great for any fish and could be made with things you normally have in your pantry. Serve with wild rice.","1 tablespoon olive oil ; 3 cups frozen California-blend vegetables (broccoli, carrot, cauliflower) ; ½ cup water ; 1 stalk celery, chopped ; ½ medium onion, diced ; 1 clove garlic, minced ; 1 pinch paprika, or to taste ;   salt and ground black pepper to taste ; 1 pound cod fillets","Preheat the oven to 400 degrees F (200 degrees C). Lightly grease a 2-quart baking dish with olive oil. Combine mixed vegetables, water, celery, onion, and garlic in the bottom of the prepared baking dish. Season with paprika, salt, and pepper. Lightly season cod fillets and layer on top of vegetables. Place in the preheated oven and immediately reduce the heat to 350 degrees F (175 degrees C). Bake until fish flakes easily with a fork, about 30 minutes.",45 mins,4.0,4 servings,209.9,2.108499890182297,0.3074895673182516,0.3514166483637162,0.1622007467603777,green,green,green,green,1.0,1.0,1.0,1.0,4.0,healthy,0.0,Seafood Main Dishes,American,45.0,9,Seafood,International,recipe_images/recipe_1050.jpg,Seafood
Cilantro and Parsley Shrimp,https://www.allrecipes.com/recipe/216542/cilantro-and-parsley-shrimp/,main-dish,Shrimp and sun-dried tomatoes are cooked in a light garlic and olive oil sauce.  Great over pasta.,"4 ounces uncooked angel hair pasta  (Optional);   olive oil ; 1 pound uncooked medium shrimp, peeled and deveined ; 1  onion, chopped ; 10  sun-dried tomatoes, cut into strips ; 4 cloves garlic, minced ; ½ bunch chopped fresh parsley ; ½ bunch chopped fresh cilantro","Fill a large pot with lightly salted water and bring to a rolling boil over high heat. Once the water is boiling, stir in the angel hair pasta, and return to a boil. Cook the pasta uncovered, stirring occasionally, until the pasta has cooked through, but is still firm to the bite, 4 to 5 minutes. Drain well in a colander set in the sink. Meanwhile, heat the olive oil in a large skillet over medium-high heat. Stir in the shrimp and onion; cook and stir until the shrimp are beginning to turn pink, about 2 minutes. Stir in the sun-dried tomatoes and garlic. Continue cooking until the shrimp are no longer opaque in the center and the onion has turned translucent, about 4 minutes. Stir in the parsley and cilantro, and pour over pasta to serve.",25 mins,4.0,4 servings,240.8,1.069253997326865,0.15840799960398,0.9702489975743775,0.1831592495421019,green,green,green,green,1.0,1.0,1.0,1.0,4.0,healthy,3.86,,,25.0,8,Pasta and Noodles,Mediterranean,recipe_images/recipe_1051.jpg,Pasta
Halibut with Garlic Sauce,https://www.allrecipes.com/recipe/75616/halibut-with-garlic-sauce/,main-dish,This recipe is a Moldovan traditional recipe. Halibut is mentioned because it is one of my favourite fish. I suggest for you to use the type of fish you like the most!,"1 pound halibut, cut into chunks ;   salt to taste ; ½ cup cornmeal ; ¼ cup sunflower seed oil ; 1 cup chicken broth ; 3 cloves garlic, minced ; 1  bay leaf ;   ground black pepper to taste","Season the halibut with salt, and dredge in the cornmeal to coat. Heat the oil in a skillet over medium heat. Place the coated halibut in the skillet, and cook 5 minutes, until lightly browned on all sides. Mix the chicken broth, garlic, and bay leaf in a pot, and bring to a boil. Pour into the skillet with the halibut. Season with pepper. Continue cooking 5 minutes, or until fish is easily flaked with a fork.",25 mins,4.0,4 servings,314.8,9.758315023865444,0.8485491325100385,0.1818319569664368,0.0984923100234866,amber,green,green,green,2.0,1.0,1.0,1.0,5.0,healthy,3.5,,,25.0,8,Seafood,International,recipe_images/recipe_1053.jpg,Seafood
Bourbon-Glazed Salmon and Baked Asparagus,https://www.allrecipes.com/recipe/263243/bourbon-glazed-salmon-and-baked-asparagus/,main-dish,"This recipe is a surefire way to eat right, feel good, and maintain a light midsection while most importantly getting full. It's the perfect bourbon-glazed combination of good fats from fish (protein) and green veggies, leaving out starch to minimize carbs.","1 bunch fresh asparagus, trimmed ; 4 (6 ounce) salmon fillets ;   olive oil ; 1 pinch salt and ground black pepper to taste ; ⅓ cup brown sugar, divided ; 5 ⅓ fluid ounces bourbon whiskey, divided ; ¼ cup non-dairy butter spread (such as I Can't Believe It's Not Butter)","Preheat the oven to 375 degrees F (190 degrees C). Rinse asparagus under cold water and snip off the bottom of each sprout. Dry with a paper towel and lay flat on a baking sheet. Rinse salmon; pat dry with paper towels. Lay salmon face-up on a separate baking sheet. Drizzle olive oil over asparagus; season with salt and pepper and rub through and around the asparagus. Bake asparagus in the preheated oven, turning over halfway, until lightly browned, about 20 minutes. Rub about 2 tablespoons brown sugar over the salmon. Drizzle 1/2 the bourbon over salmon. Let marinate, 15 to 20 minutes. Melt butter spread in a medium nonstick pan over medium-low heat. Add the remaining brown sugar; stir to dissolve. Add salmon fillets; cook until fish flakes easily with a fork, 5 to 7 minutes per side. Pour in the remaining bourbon during the last 2 minutes of cooking. Serve with the asparagus.",45 mins,4.0,4 6-ounce salmon fillets,487.2,10.05836661254224,2.0538026067494624,10.479659454952383,0.2798964321762408,amber,amber,amber,green,2.0,2.0,2.0,1.0,7.0,healthy,0.0,Seafood Main Dishes,American,45.0,7,Seafood,American,recipe_images/recipe_1057.jpg,Seafood
Citrus-Herbed Baked Salmon,https://www.allrecipes.com/recipe/237389/citrus-herbed-baked-salmon/,main-dish,This is one of the most flavorful and moist salmon recipes I have ever tasted.,"4  lemons, sliced 1/4-inch thick ; 1 large red onion, sliced ; 2 (8 ounce) salmon fillets ; 2 tablespoons chopped fresh basil ; 2 tablespoons chopped fresh dill ; ½ teaspoon sea salt","Preheat oven to 350 degrees F (175 degrees C). Put two large squares of aluminum foil onto a large, flat work surface. Make a bed of lemon slices in the center of each foil square; top with red onion. Lay a salmon fillet atop each pile of lemon slices and onion; season with basil, dill, and sea salt. Fold edges of the aluminum foil over the salmon and seal completely. Bake in the preheated oven until the fish flakes easily with a fork, about 25 minutes. Remove salmon from foil pouch, place on plate, and drizzle juices from foil pouch over the fish.",35 mins,4.0,2 8-ounce fillets,200.0,2.908788697278205,0.6233118637024725,0.664865987949304,0.2830874714315395,green,green,green,green,1.0,1.0,1.0,1.0,4.0,healthy,4.2,,,35.0,6,Seafood,Mediterranean,recipe_images/recipe_1060.jpg,Seafood
Broiled Salmon with Brown Sugar,https://www.allrecipes.com/recipe/279466/broiled-salmon-with-brown-sugar/,main-dish,This is one of my favorite broiled salmon with brown sugar recipes.,"¼ cup brown sugar ; 2 tablespoons low-sodium soy sauce ; 1 tablespoon olive oil ; 1 large red onion, cut into 1/4-inch thick wedges ; 1 pinch kosher salt and ground black pepper to taste ; 4 (5 ounce) skinless salmon fillets","Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Combine brown sugar and soy sauce in a small bowl. Heat oil in a pan over medium-high heat. Saute onion, salt, and pepper in the hot oil until soft, 5 to 7 minutes. Transfer to sugar mixture and mix together. Place salmon fillets on a rimmed baking sheet. Cook salmon in the preheated oven for 10 minutes. Turn over and drizzle with 1/2 of the sugar mixture. Continue to broil until salmon is opaque throughout and easily flaked with a fork, 5 to 10 minutes more. Serve with remaining sugar mixture.",30 mins,4.0,4 servings,255.3,4.462585034013605,0.8707482993197279,8.217687074829932,0.5922448979591837,amber,green,amber,amber,2.0,1.0,2.0,2.0,7.0,healthy,0.0,Seafood Main Dishes,,30.0,6,Seafood,Asian,recipe_images/recipe_1064.jpg,Seafood
Beer-Sauteed Shrimp,https://www.allrecipes.com/recipe/241710/beer-sauteed-shrimp/,main-dish,"A delicious and easy recipe for shrimp sauteed in onion, garlic, beer, and hot sauce! The aroma the beer gives off while cooking is heavenly! Everyone I've made this for loves it!","1 (8 ounce) package angel hair pasta ; 1 ½ tablespoons olive oil ; 1  onion, sliced ; 2 cloves garlic, crushed ; 1 teaspoon dried basil ; 1 teaspoon dried oregano ; 1 teaspoon dried parsley ; 2 pounds shrimp, peeled and deveined ; 1 (12 fluid ounce) can or bottle beer ; ¼ teaspoon hot sauce (such as Frank's RedHot ) ;   salt and ground black pepper to taste ; 2 tablespoons grated Parmesan cheese, or to taste ; 1 pinch dried parsley","Bring a large pot of lightly salted water to a boil. Cook angel hair in the boiling water, stirring occasionally until cooked through but firm to the bite, 4 to 5 minutes. Drain. Heat olive oil in a skillet over medium heat; cook and stir onion, garlic, basil, oregano, and 1 teaspoon parsley until onion is softened, 5 to 10 minutes. Add shrimp, beer, hot sauce, salt, and pepper; cook and stir until shrimp are pink and cooked through, about 5 minutes. Toss pasta and shrimp mixture together in a bowl; top with Parmesan cheese and a pinch of parsley.",30 mins,4.0,4 servings,457.4,2.156834323815046,0.3942600376866212,0.8117118422959849,0.3506595158718655,green,green,green,amber,1.0,1.0,1.0,2.0,5.0,healthy,5.0,,,30.0,13,Pasta and Noodles,Italian,recipe_images/recipe_1067.jpg,Pasta
Kevin's Asian Baked Salmon,https://www.allrecipes.com/recipe/146078/kevins-asian-baked-salmon/,main-dish,"Although especially delicious when made with salmon fillets, this savory dish with Asian flavor works well with salmon steaks too. If preferred, use fresh mushrooms caps and cut them into bite-size pieces before adding to the oyster sauce and sherry. Serve this salmon dish with a side of saffron rice and green vegetables.",2 cups dried shiitake mushrooms ; 1 cup oyster sauce ; 1 tablespoon sherry ; 2 pounds salmon fillets,"Soak mushrooms in boiling water 20 minutes; remove stems. Put softened mushrooms, oyster sauce, and sherry into a bowl; stir. Let mixture sit for 10 to 20 minutes. Preheat oven to 400 degrees F (200 degrees C). Line a large baking dish with foil, then lightly grease it with olive oil or nonstick cooking spray. Place salmon fillets in prepared baking dish and pour mushroom mixture over the salmon. Bake in the preheated oven until fish flakes easily, about 10 to 12 minutes. If desired, at the end of the cooking time, broil the salmon to sear the coating, about 1 to 2 minutes.",52 mins,6.0,6 servings,427.8,9.284013916865042,1.867789782091192,0.6042849295000916,0.548800585973265,amber,amber,green,amber,2.0,2.0,1.0,2.0,7.0,healthy,4.0,Seafood Main Dishes,,52.0,4,Seafood,Asian,recipe_images/recipe_1073.jpg,Seafood
Bloody Shrimp,https://www.allrecipes.com/recipe/74179/bloody-shrimp/,main-dish,I like serving this dish as brunch when an all-day barbeque is planned. I usually serve it over rice with lemon wedges as a garnish.,"1 cup bottled Bloody Mary mix ; 1 tablespoon hot pepper sauce ; 1  lemon, juiced ; 2 pounds large shrimp, peeled and deveined ; 2 pounds halibut fillets, cubed","In a large bowl, mix together the Bloody Mary mix, hot pepper sauce, and lemon juice. Stir in the shrimp and halibut chunks. Let marinate for 10 to 15 minutes. Preheat a grill for high heat. Place a grill pan over the grilling surface, or you may use a heavy sheet of foil that has holes poked in it with a fork. Drain the shrimp and halibut in a colander, discarding the marinade. Grill for 10 to 15 minutes, stirring occasionally, until the seafood is browned and opaque.",35 mins,8.0,8 servings,221.8,1.466843231129673,0.2444738718549454,0.3259651624732607,0.4276255475196088,green,green,green,amber,1.0,1.0,1.0,2.0,5.0,healthy,3.57,,,35.0,5,Seafood,American,recipe_images/recipe_1077.jpg,Seafood
Broiled Salmon with Lemon-Dill Sauce,https://www.allrecipes.com/recipe/279471/broiled-salmon-with-lemon-dill-sauce/,main-dish,This easy-to-make broiled salmon recipe is good for even non-fish eaters.,1 teaspoon ground black pepper ; 4 (6 ounce) salmon steaks ; 2 tablespoons mayonnaise ; 2 tablespoons lemon juice ; 1 teaspoon Dijon mustard ; ¾ teaspoon dried dill weed ; 4  lemon wedges  (Optional),"Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a baking pan with aluminum foil. Sprinkle pepper on both sides of salmon steaks. Place on the prepared baking pan. Broil salmon under the preheated broiler until it flakes easily with a fork, 3 to 5 minutes per side. While salmon is cooking, stir mayonnaise, lemon juice, Dijon, and dill together in a small bowl until a smooth sauce is achieved. Portion salmon steaks on a plate, spoon sauce over top, and garnish with lemon wedges.",20 mins,4.0,4 salmon steaks,239.3,5.989705194197472,1.1765492345745037,0.1604385319874323,0.1972056955678855,amber,green,green,green,2.0,1.0,1.0,1.0,5.0,healthy,0.0,Seafood Main Dishes,American,20.0,7,Seafood,American,recipe_images/recipe_1078.jpg,Seafood
Simple Tuna Fish Tacos,https://www.allrecipes.com/recipe/264304/simple-tuna-fish-tacos/,main-dish,"Tuna tacos sounds funny, but these are delicious. I threw these together for dinner one night and now they're our favorite! If desired, serve with sour cream, fresh cilantro, and more hot sauce.","1 tablespoon olive oil ; 4  Roma tomatoes, diced ; 4  green onions, sliced ; 2 cloves garlic, minced ; 2 teaspoons ground cumin ; 1 teaspoon dried oregano ; 3 dashes hot sauce (such as Tabasco) ; 4 (6 ounce) cans solid white tuna packed in water, drained ; 1 pinch red pepper flakes  (Optional);   salt and ground black pepper to taste ; 12  corn tortillas","Heat olive oil in a skillet over medium heat. Add tomatoes, green onions, garlic, cumin, and oregano; saute until tomatoes are very soft, about 5 minutes. Reduce heat to low. Add drained tuna; gently break into bite-sized pieces and mix in. Season with red pepper flakes, salt, and pepper. Cover and cook until tuna is warmed through, 2 to 3 minutes more. Stack 6 tortillas on a microwave-safe plate and cover with a damp paper towel. Heat in the microwave until pliable, 15 to 20 seconds. Repeat with remaining tortillas. Spoon tuna mixture over warm tortillas.",25 mins,12.0,12 tacos,139.6,1.580278128950695,0.2528445006321112,0.5689001264222502,0.0976611883691529,green,green,green,green,1.0,1.0,1.0,1.0,4.0,healthy,4.33,Taco Recipes,U.S. American,25.0,11,Taco,Mexican,recipe_images/recipe_1079.jpg,Sandwiches and Tacos
